Manufacturer,Regulatory Class,Vehicle Type,Model Year,2-Cycle MPG,Real-World MPG,Real-World MPG_City,Real-World MPG_Hwy,Real-World CO2 (g/mi),Real-World CO2_City (g/mi),Real-World CO2_Hwy (g/mi),Weight (lbs),Footprint (sq. ft.),Engine Displacement,Horsepower (HP),Acceleration (0-60 time in seconds),HP/Engine Displacement,HP/Weight (lbs),Ton-MPG (Real-World),Drivetrain - Front,Drivetrain - 4WD,Drivetrain - Rear,Transmission - Manual,Transmission - Automatic,Transmission - Lockup,.Transmission - CVT (Hybrid),Transmission - Other,Fuel Delivery - Carbureted,Fuel Delivery - Gasoline Direct Injection (GDI),Fuel Delivery - Port Fuel Injection,Fuel Delivery - Throttle Body Injection,Fuel Delivery - Other,Powertrain - Diesel,Powertrain - Electric Vehicle (EV),Powertrain - Plug-in Hybrid Electric Vehicle (PHEV),Powertrain - Fuel Cell Vehicle  (FCV),Powertrain - Other (incl. CNG),Powertrain - Gasoline Hybrid,Powertrain - Gasoline,Turbocharged Engine,Stop/Start,Cylinder Deactivation,Multivalve Engine,Variable Valve Timing,7+ Gears,Average Number of Gears,Transmission - CVT (Non-Hybrid)
FCA,All,All,1999,21.48081,17.64451,15.03249,20.78517,503.6694,591.18599,427.56456,4119.872,-,230.7539,191.7483,10.282,0.869657,0.046722,36.72255,0.496,0.332,0.172,0.055,0,0.945,0,0,0,-,1,0,0,0,0,0,0,0,0,1,0,-,0,0.311,-,0,4,0
FCA,All,All,2000,22.28193,18.21632,15.52162,21.3652,487.85923,572.55603,415.95676,3986.498,-,217.494,186.1711,9.8842,0.893396,0.046815,36.66245,0.543,0.292,0.165,0.049,0,0.951,0,0,0,-,1,0,0,0,0,0,0,0,0,1,0,-,0,0.352,0,0,3.9,0
FCA,All,All,2001,21.58261,17.60463,14.97567,20.60319,504.81042,593.42939,431.34102,4169.898,-,228.0125,195.4041,9.565,0.897119,0.047086,37.16244,0.499,0.3,0.201,0.06,0,0.94,0,0,0,-,1,0,0,0,0,0,0,0,0,1,0,-,0,0.342,0,0,4,0
FCA,All,All,2002,21.83221,17.70093,15.16403,20.47303,502.06391,586.05804,434.08323,4202.68,-,220.5582,204.0049,9.5283,0.961679,0.048959,37.53852,0.508,0.3,0.192,0.056,0,0.944,0,0,0,-,1,0,0,0,0,0,0,0,0,1,0,-,0,0.343,0.001,0,4.1,0
FCA,All,All,2003,22.25256,17.9285,15.45311,20.52717,495.69114,575.09455,432.9384,4266.092,-,227.7392,203.4195,9.4782,0.919663,0.047708,38.52261,0.463,0.316,0.221,0.062,0,0.938,0,0,0,-,1,0,0,0,0,0,0,0,0,1,0.016,-,0,0.253,0.001,0,4.3,0
FCA,All,All,2004,21.9958,17.73642,15.05685,20.56254,501.05949,590.2297,432.19359,4236.471,-,230.0181,222.7123,8.8942,0.997687,0.052422,37.78994,0.39,0.41,0.2,0.055,0,0.945,0,0,0,-,1,0,0,0,0,0,0,0,0,1,0.017,-,0,0.365,0,0,4.4,0
FCA,All,All,2005,22.61427,18.17971,15.32738,21.14869,489.04859,580.04814,420.3998,4278.735,-,227.3694,220.9868,8.9915,0.997227,0.051607,39.11834,0.478,0.284,0.239,0.038,0.001,0.961,0,0,0,-,0.996,0,0,0.004,0,0,0,0,0,0.996,0.023,-,0.051,0.322,0.001,0,4.4,0
FCA,All,All,2006,22.54433,18.14131,15.25205,21.16609,490.08451,582.90962,420.05855,4374.413,-,234.4464,231.6009,8.8835,1.012081,0.053197,39.87909,0.38,0.297,0.323,0.034,0.001,0.965,0,0,0,-,0.997,0,0,0.003,0,0,0,0,0,0.997,0.011,-,0.144,0.326,0.001,0,4.5,0
FCA,All,All,2007,23.16683,18.56603,15.76088,21.44544,478.77586,563.98467,414.49552,4326.118,-,223.1658,223.1365,9.0379,1.036884,0.051592,40.34354,0.411,0.344,0.245,0.036,0,0.82,0,0,0,-,0.998,0,0,0.002,0,0,0,0,0,0.998,0.005,-,0.12,0.365,0.187,0,4.6,0.144
FCA,All,All,2008,24.14983,19.32963,16.37596,22.37395,459.83045,542.76501,397.26578,4306.348,50.13865,216.7275,217.2404,9.3105,1.028471,0.050224,41.95657,0.45,0.301,0.249,0.036,0.002,0.863,0,0,0,0,0.999,0,0,0.001,0,0,0,0,0,0.999,0.007,-,0.101,0.431,0.2,0,4.7,0.099
FCA,All,All,2009,23.86148,19.14472,16.11987,22.3017,464.20118,551.30707,398.48972,4400.989,50.89085,223.7253,229.3157,8.8874,1.049945,0.051808,42.26809,0.471,0.286,0.244,0.027,0.002,0.87,0,0,0,0,1,0,0,0,0,0,0,0,0.001,0.999,0.001,-,0.131,0.442,0.331,0,4.8,0.1
FCA,All,All,2010,24.34915,19.53693,16.3975,22.83507,454.88217,541.97297,389.1821,4337.596,50.86449,221.8498,226.6699,8.9859,1.032288,0.051877,42.52197,0.494,0.266,0.24,0.033,0.001,0.878,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,-,0.103,0.441,0.3,0,4.8,0.088
FCA,All,All,2011,24.16935,19.41745,16.27736,22.72453,457.68119,545.97291,391.07516,4481.984,51.78826,233.5599,268.1654,8.2006,1.16038,0.059154,43.63137,0.334,0.443,0.223,0.028,0,0.854,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,-,0.177,0.583,0.726,0,5.1,0.117
FCA,All,All,2012,25.04406,20.07502,16.81522,23.51381,442.68945,528.50943,377.94806,4361.577,51.3923,225.1808,270.6688,7.992,1.21191,0.061039,43.86869,0.415,0.376,0.209,0.045,0.002,0.883,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.002,0,0.172,0.728,0.896,0.047,5.5,0.071
FCA,All,All,2013,26.08075,20.87185,17.41172,24.55266,425.66692,510.29003,361.82843,4326.289,51.5107,216.3573,267.3839,7.9334,1.258804,0.060811,45.52064,0.51,0.296,0.194,0.052,0.013,0.9,0,0,0,0,0.998,0,0.002,0,0.002,0,0,0,0,0.998,0.029,0,0.16,0.819,0.98,0.078,5.7,0.036
FCA,All,All,2014,25.9206,20.73541,17.34721,24.31862,428.46357,512.18332,365.30656,4476.166,52.22665,222.3745,272.2508,7.7601,1.252629,0.060352,46.61452,0.363,0.447,0.19,0.025,0,0.958,0,0,0,0.006,0.993,0,0.002,0,0.002,0,0,0,0,0.998,0.034,0,0.183,0.674,0.982,0.414,6.6,0.017
FCA,All,All,2015,27.31233,21.77917,18.19429,25.58159,408.8129,489.40471,348.01557,4320.728,50.69801,208.441,260.4203,7.7205,1.268309,0.059699,47.59921,0.377,0.463,0.16,0.03,0,0.947,0,0,0,0.006,0.972,0,0.004,0.018,0.004,0,0,0,0,0.978,0.033,0.052,0.121,0.868,0.976,0.605,7.3,0.023
FCA,All,All,2016,27.0418,21.54052,18.10731,25.13579,413.30332,491.69107,354.16869,4338.853,51.39342,212.6471,263.4282,7.7736,1.257042,0.060073,47.08771,0.359,0.476,0.165,0.029,0,0.93,0,0,0,0.061,0.921,0,0.002,0.016,0.002,0,0,0,0,0.982,0.024,0.119,0.153,0.833,0.981,0.565,7.3,0.042
FCA,All,All,2017,26.47852,21.14576,17.68775,24.80396,420.30393,502.53868,358.26719,4510.389,52.81365,223.1049,280.2802,7.5496,1.278632,0.061489,48.22871,0.313,0.532,0.155,0.019,0,0.963,0,0,0,0.012,0.977,0,0.003,0.007,0.003,0.002,0,0,0,0.988,0.027,0.229,0.178,0.816,0.981,0.678,7.5,0.018
FCA,All,All,2018,27.27795,21.72275,18.19789,25.44011,409.20584,488.41511,349.45148,4464.801,51.99811,214.5043,278.0765,7.4765,1.321142,0.061855,48.93148,0.26,0.57,0.169,0.019,0,0.974,0,0,0,0.043,0.946,0,0.001,0.01,0.001,0.007,0,0,0.024,0.959,0.059,0.428,0.125,0.867,0.951,0.769,7.7,0.007
FCA,All,All,2019,26.56388,21.23923,17.64548,25.09483,418.43194,503.64203,354.15064,4631.17,54.93125,234.0777,298.8903,7.2336,1.323367,0.06399,49.29512,0.233,0.571,0.196,0.007,0,0.991,0,0,0,0.061,0.937,0,0,0.002,0,0.002,0,0,0.067,0.929,0.066,0.439,0.252,0.731,0.979,0.856,8,0.002
FCA,All,All,2020,27.72271,21.8127,18.63228,25.03665,407.95454,477.48136,355.50449,4645.363,53.19273,220.6962,290.2707,7.2844,1.405875,0.061873,51.04874,0.17,0.665,0.165,0.02,0,0.968,0,0,0,0.152,0.824,0,0,0.024,0,0.012,0,0,0.198,0.766,0.178,0.531,0.238,0.757,0.932,0.915,8.1,0.012
Ford,All,All,1975,13.49126,11.49702,10.50792,12.99166,772.9829,845.74275,684.0542,4212.492,-,314.0586,140.07,-,0.458534,0.032788,24.73581,0,0.033,0.967,0.197,0.803,0,0,0,1,-,0,0,0,0,0,0,0,0,0,1,-,-,0,-,-,-,-,0
Ford,All,All,1976,15.70081,13.35717,12.46865,14.63151,665.33575,712.74765,607.38787,4250.931,-,313.0537,134.3488,-,0.439128,0.03123,28.92835,0,0.048,0.952,0.187,0.813,0,0,0,1,-,0,0,0,0,0,0,0,0,0,1,-,-,0,-,-,-,-,0
Ford,All,All,1977,16.28161,13.8571,12.85832,15.31065,641.33178,691.14777,580.44557,4311.94,-,326.4155,147.2797,-,0.461133,0.033985,30.26056,0,0.055,0.945,0.147,0.853,0,0,0,1,-,0,0,0,0,0,0,0,0,0,1,-,-,0,-,-,-,-,0
Ford,All,All,1978,17.53962,14.94157,13.72382,16.75912,594.78343,647.56021,530.27847,3989.882,-,294.5504,135.2534,13.7833,0.476823,0.03364,30.14006,0.033,0.076,0.891,0.191,0.809,0,0,0,1,-,0,0,0,0,0,0,0,0,0,1,-,-,0,-,-,-,-,0
Ford,All,All,1979,17.31627,14.77059,13.69544,16.33822,601.66872,648.902,543.93915,3811.835,-,269.9234,130.5464,14.3217,0.505657,0.033992,28.60444,0.022,0.059,0.919,0.201,0.799,0,0,0,1,-,0,0,0,0,0,0,0,0,0,1,-,-,0,-,-,0,3.2,0
Ford,All,All,1980,20.76823,17.6913,16.25304,19.83679,502.33719,546.79011,448.00584,3458.905,-,230.4475,111.693,15.1733,0.516714,0.032306,30.68818,0.044,0.06,0.896,0.33,0.565,0.105,0,0,0.991,-,0,0.009,0,0,0,0,0,0,0,1,-,-,0,-,-,0,3.4,0
Ford,All,All,1981,21.60691,18.40758,16.91175,20.6387,482.79036,525.49252,430.59881,3370.616,-,217.7585,107.8088,15.2582,0.554053,0.032194,31.20519,0.199,0.05,0.752,0.336,0.488,0.176,0,0,0.966,-,0,0.034,0,0,0,0,0,0,0,1,-,-,0,-,-,0,3.5,0
Ford,All,All,1982,22.08684,18.82681,17.17247,21.33941,472.03967,517.51441,416.45942,3349.966,-,211.2733,104.9865,16.7739,0.547448,0.031107,31.89179,0.308,0.053,0.639,0.332,0.349,0.319,0,0,0.968,-,0,0.032,0,0,0,0,0,0,0,1,-,-,0,-,-,0,3.5,0
Ford,All,All,1983,21.8916,18.66331,16.97932,21.23771,476.32759,523.55797,418.60156,3428.08,-,220.9239,109.7642,15.0621,0.537049,0.031859,32.34283,0.192,0.074,0.734,0.299,0.283,0.418,0,0,0.812,-,0.015,0.17,0,0.004,0,0,0,0,0,0.996,-,-,0,-,-,0,3.6,0
Ford,All,All,1984,22.7677,19.40396,17.70741,21.97754,458.45918,502.37409,404.7854,3418.605,-,216.8515,111.0762,14.8111,0.550888,0.032352,33.73245,0.299,0.111,0.591,0.267,0.335,0.399,0,0,0.648,-,0.124,0.215,0,0.013,0,0,0,0,0,0.987,-,-,0,-,-,0,3.6,0
Ford,All,All,1985,23.42623,19.96683,18.2147,22.62708,445.23038,488.05581,392.88819,3406.268,-,216.4491,121.8592,13.7246,0.603445,0.035505,34.59552,0.295,0.104,0.601,0.283,0.281,0.436,0,0,0.464,-,0.072,0.46,0,0.004,0,0,0,0,0,0.996,-,-,0,-,-,0,3.7,0
Ford,All,All,1986,23.89488,20.30638,18.40482,23.15595,437.76055,482.986,383.89359,3474.604,-,209.7565,123.3031,13.1244,0.62707,0.035437,35.61505,0.339,0.113,0.548,0.283,0.237,0.48,0,0,0.31,-,0.478,0.209,0,0.003,0,0,0,0,0,0.997,-,-,0,0,-,0,3.8,0
Ford,All,All,1987,24.03076,20.37211,18.25618,23.5417,436.29104,486.85586,377.5528,3476.392,-,202.8119,123.6594,13.2972,0.644561,0.035361,35.71816,0.408,0.103,0.489,0.279,0.252,0.469,0,0,0.033,-,0.651,0.315,0,0.002,0,0,0,0,0,0.998,-,-,0,0,-,0,3.9,0
Ford,All,All,1988,24.37311,20.59616,18.39259,23.83042,431.4881,483.18371,372.9267,3488.421,-,204.2374,130.2637,13.0468,0.676307,0.037167,36.2017,0.403,0.106,0.49,0.288,0.221,0.49,0,0,0.047,-,0.81,0.143,0,0,0,0,0,0,0,1,-,-,0,0,-,0,4,0
Ford,All,All,1989,24.24057,20.42134,18.16899,23.663,435.182,489.13006,375.56522,3571.027,-,204.0108,128.0415,12.766,0.67068,0.035839,36.69211,0.441,0.098,0.46,0.262,0.208,0.53,0,0,0.013,-,0.898,0.088,0,0,0,0,0,0,0,1,-,-,0,0.062,-,0,4,0
Ford,All,All,1990,23.66843,19.89587,17.56163,23.22572,446.67566,506.04635,382.63612,3668.733,-,213.7735,133.683,11.8258,0.663502,0.036468,36.74252,0.407,0.1,0.493,0.197,0.166,0.636,0,0,0,-,0.937,0.063,0,0,0,0,0,0,0,1,-,-,0,0.035,-,0,4,0
Ford,All,All,1991,24.1647,20.24431,17.8154,23.63635,438.98765,498.8381,375.98874,3626.034,-,204.5327,141.5541,11.5715,0.719156,0.03877,36.97294,0.439,0.147,0.414,0.209,0.095,0.697,0,0,0,-,1,0,0,0,0,0,0,0,0,1,-,-,0,0.057,-,0,4.1,0
Ford,All,All,1992,23.51399,19.65651,17.1833,23.06915,452.11488,517.18817,385.23317,3792.675,-,219.4338,149.301,11.205,0.700245,0.039315,37.52255,0.369,0.144,0.486,0.169,0.103,0.728,0,0,0,-,1,0,0,0,0,0,0,0,0,1,-,-,0,0.028,-,0,4.1,0
Ford,All,All,1993,24.46242,20.37732,17.74154,23.94613,436.12213,500.91473,371.12462,3677.676,-,205.8868,144.8573,10.5823,0.725384,0.03914,37.67084,0.441,0.123,0.436,0.192,0.08,0.728,0,0,0,-,1,0,0,0,0,0,0,0,0,1,-,-,0,0.055,-,0,4.1,0
Ford,All,All,1994,23.73852,19.73228,17.10428,23.228,450.37866,519.57752,382.5986,3792.461,-,216.767,150.3896,10.3887,0.712888,0.039444,37.66149,0.36,0.155,0.484,0.206,0.06,0.734,0,0,0,-,1,0,0,0,0,0,0,0,0,1,-,-,0,0.042,-,0,4.1,0
Ford,All,All,1995,24.01556,19.92612,17.09418,23.67974,445.99753,519.88453,375.2997,3790.931,-,217.9895,151.9904,10.6067,0.726575,0.039902,38.02712,0.489,0.147,0.364,0.165,0.006,0.83,0,0,0,-,1,0,0,0,0,0,0,0,0,1,-,-,0,0.105,-,0,4.1,0
Ford,All,All,1996,23.25485,19.2441,16.48715,22.80664,461.80392,539.02569,389.66728,3871.194,-,218.3349,159.4454,10.8203,0.757365,0.041206,37.43416,0.425,0.15,0.425,0.156,0.006,0.839,0,0,0,-,1,0,0,0,0,0,0,0,0,1,0,-,0,0.139,-,0,4.1,0
Ford,All,All,1997,22.79853,18.79225,16.1591,22.07105,472.9078,549.9688,402.65422,3992.206,-,226.4297,171.5815,10.4646,0.773709,0.042702,37.64563,0.331,0.22,0.449,0.13,0,0.87,0,0,0,-,1,0,0,0,0,0,0,0,0,1,0,-,0,0.068,-,0,4.2,0
Ford,All,All,1998,22.78584,18.73708,16.02417,22.063,474.30025,554.59968,402.80108,3982.36,-,223.365,172.5266,10.6517,0.794771,0.043297,37.39359,0.417,0.208,0.376,0.115,0,0.885,0,0,0,-,1,0,0,0,0,0,0,0,0,1,0,-,0,0.132,-,0,4.2,0
Ford,All,All,1999,22.56741,18.50941,15.77627,21.79213,480.13418,563.31444,407.80779,4034.157,-,225.1817,181.3996,10.3502,0.827271,0.044951,37.41421,0.405,0.205,0.39,0.098,0,0.902,0,0,0,-,1,0,0,0,0,0,0,0,0,1,0,-,0,0.176,-,0,4.2,0
Ford,All,All,2000,22.83008,18.64033,15.91647,21.80827,476.76195,558.35228,407.50588,4029.534,-,225.5734,187.086,9.7741,0.843915,0.046279,37.64253,0.389,0.194,0.416,0.103,0,0.897,0,0,0,-,1,0,0,0,0,0,0,0,0,1,0,-,0,0.153,0.038,0,4.2,0
Ford,All,All,2001,22.37883,18.20995,15.56356,21.19732,488.02982,571.01322,419.25111,4101.605,-,230.6302,196.645,9.3677,0.868251,0.047775,37.41954,0.364,0.223,0.413,0.075,0,0.925,0,0,0,-,1,0,0,0,0,0,0,0,0,1,0,-,0,0.19,0.057,0,4.3,0
Ford,All,All,2002,22.30415,18.08193,15.45379,20.96831,491.48516,575.06938,423.83016,4106.512,-,227.4171,198.2051,9.4344,0.886611,0.048143,37.21693,0.341,0.267,0.392,0.069,0,0.931,0,0,0,-,1,0,0,0,0,0,0,0,0,1,0,-,0,0.202,0.054,0,4.4,0
Ford,All,All,2003,22.05935,17.84251,15.18398,20.7094,498.08011,585.28797,429.1288,4283.979,-,235.9628,206.3946,9.3206,0.889211,0.048274,38.20559,0.313,0.251,0.436,0.071,0,0.929,0,0,0,-,1,0,0,0,0,0,0,0,0,1,0,-,0,0.203,0.062,0,4.3,0
Ford,All,All,2004,21.08648,17.01673,14.48054,19.67849,522.25077,613.72041,451.60982,4595.274,-,253.4791,222.0374,9.2393,0.884885,0.048607,38.90634,0.221,0.331,0.448,0.05,0,0.95,0,0,0,-,1,0,0,0,0,0,0,0,0,1,0,-,0,0.322,0.19,0,4.3,0
Ford,All,All,2005,22.62072,18.12266,15.45381,20.83738,490.38056,575.06851,426.49315,4390.806,-,231.8391,214.2434,9.1845,0.946009,0.048809,39.68956,0.344,0.306,0.35,0.05,0,0.897,0.004,0,0,-,1,0,0,0,0,0,0,0,0.004,0.996,0,-,0,0.554,0.311,0,4.3,0.049
Ford,All,All,2006,22.46004,18.03103,15.28602,20.85645,492.87268,581.38105,426.10321,4466.771,-,235.7925,220.7297,9.1103,0.957441,0.049547,40.20355,0.353,0.285,0.362,0.052,0,0.89,0.01,0,0,-,1,0,0,0,0,0,0,0,0.01,0.99,0,-,0,0.592,0.41,0,4.5,0.048
Ford,All,All,2007,23.52222,18.87513,15.91936,21.94956,470.83121,558.25107,404.8829,4295.139,-,222.6058,215.6469,9.1307,0.993031,0.050245,40.54891,0.41,0.261,0.33,0.064,0,0.902,0.007,0,0,-,1,0,0,0,0,0,0,0,0.007,0.993,0,-,0,0.654,0.296,0,4.7,0.026
Ford,All,All,2008,24.11534,19.33515,16.29127,22.5076,459.62929,545.5069,394.84443,4282.945,51.09389,218.8337,221.4304,9.0212,1.039105,0.051811,41.55558,0.411,0.285,0.304,0.051,0,0.931,0.019,0,0,0,1,0,0,0,0,0,0,0,0.019,0.981,0,-,0,0.74,0.174,0,4.8,0
Ford,All,All,2009,25.79966,20.46328,17.32136,23.84095,434.29016,513.06606,372.76204,4200.085,50.73896,209.0519,223.607,8.5598,1.095706,0.053115,42.98783,0.5,0.271,0.229,0.04,0,0.94,0.021,0,0,0,1,0,0,0,0,0,0,0,0.021,0.979,0,-,0,0.848,0.369,0,5.3,0
Ford,All,All,2010,25.5945,20.42485,17.31903,23.6203,435.10729,513.13508,376.24422,4366.565,51.89109,218.31,231.4312,8.5878,1.087523,0.053042,44.80183,0.476,0.308,0.217,0.024,0,0.95,0.026,0,0,0.01,0.99,0,0,0,0,0,0,0,0.026,0.974,0.01,-,0,0.857,0.546,0,5.5,0
Ford,All,All,2011,26.44843,21.02658,17.87337,24.25458,422.65554,497.22011,366.40508,4375.463,52.13163,207.7177,252.6517,8.2259,1.219998,0.057098,46.0295,0.474,0.326,0.2,0.032,0,0.952,0.016,0,0,0.076,0.924,0,0,0,0,0,0,0,0.016,0.984,0.076,-,0,0.929,0.838,0,5.7,0
Ford,All,All,2012,28.6673,22.66097,19.21806,26.20215,392.14006,462.39963,339.13722,4152.548,50.9167,189.2358,240.4974,8.1476,1.276248,0.05725,47.08265,0.594,0.278,0.128,0.036,0.015,0.935,0.015,0,0,0.278,0.722,0,0,0,0,0,0,0,0.015,0.984,0.096,0,0,0.989,0.973,0,5.9,0
Ford,All,All,2013,28.0857,22.23815,18.82047,25.76817,399.56908,472.14277,344.8205,4487.814,53.42463,190.725,264.6392,7.9707,1.432266,0.058126,50.48406,0.509,0.363,0.128,0.028,0.039,0.891,0.034,0,0,0.399,0.6,0,0.001,0,0.001,0.007,0,0,0.034,0.958,0.307,0.001,0,0.99,0.964,0,5.9,0.007
Ford,All,All,2014,28.68673,22.69922,19.16883,26.36189,391.42799,463.53924,337.02828,4335.389,52.39901,183.2696,253.717,8.0212,1.434869,0.057663,49.63584,0.535,0.328,0.137,0.033,0.066,0.867,0.027,0,0,0.445,0.554,0,0.001,0,0.001,0.007,0,0,0.027,0.965,0.311,0,0,0.99,0.976,0,6,0.007
Ford,All,All,2015,28.8799,22.8447,19.26379,26.57074,388.94727,461.26538,334.39151,4271.786,53.10194,176.095,263.1427,7.8115,1.535475,0.060604,49.56951,0.47,0.384,0.146,0.032,0.051,0.885,0.024,0,0,0.513,0.486,0,0.001,0,0.001,0.009,0,0,0.024,0.967,0.434,0.061,0,0.999,0.907,0,6,0.009
Ford,All,All,2016,28.87122,22.81459,19.22037,26.56166,389.09172,461.78019,334.25656,4269.156,53.30583,173.4989,260.945,7.8474,1.544303,0.06009,49.50318,0.462,0.399,0.14,0.029,0.104,0.838,0.019,0,0,0.537,0.462,0,0.001,0,0.001,0.01,0,0,0.019,0.97,0.459,0.08,0,0.999,0.925,0,6,0.01
Ford,All,All,2017,28.89077,22.86587,19.29876,26.57084,388.1951,459.87002,334.12455,4359.822,52.52872,166.9032,261.9203,7.8623,1.62873,0.059197,51.10342,0.457,0.422,0.121,0.029,0.068,0.857,0.034,0,0,0.598,0.401,0,0.001,0,0.001,0.011,0,0,0.034,0.954,0.543,0.335,0,0.999,0.932,0.059,6.2,0.011
Ford,All,All,2018,28.46094,22.42136,19.10311,25.80246,396.52536,465.36876,344.59088,4475.529,55.33967,174.3999,283.5034,7.5396,1.680342,0.061933,50.97558,0.354,0.51,0.135,0.016,0.064,0.886,0.031,0,0,0.423,0.572,0,0,0.005,0,0.003,0,0,0.031,0.961,0.547,0.609,0,1,0.889,0.368,7.5,0.003
Ford,All,All,2019,28.7426,22.50912,19.30859,25.72602,394.76368,460.14263,345.44272,4482.096,55.28709,169.3327,285.3047,7.3621,1.737404,0.062459,51.29385,0.307,0.53,0.163,0.015,0.032,0.908,0.04,0,0,0.444,0.553,0,0,0.003,0,0.005,0,0,0.04,0.952,0.643,0.756,0,1,0.892,0.542,8,0.005
Ford,All,All,2020,30.08779,23.30667,20.20966,26.35324,381.05493,439.36177,337.06906,4539.918,54.00944,159.5036,286.9634,7.1049,1.839516,0.062205,53.82288,0.222,0.577,0.201,0.01,0.003,0.933,0.048,0,0,0.66,0.337,0,0,0.002,0,0.008,0,0,0.052,0.938,0.777,0.856,0.097,1,0.922,0.807,8.8,0.006
GM,All,All,1975,14.87032,12.65984,11.71405,14.04591,701.98366,758.66135,632.71094,4431.756,-,338.4993,150.3929,-,0.452989,0.033709,28.25396,0.019,0.029,0.952,0.12,0.88,0,0,0,0.982,-,0.018,0,0,0,0,0,0,0,0,1,-,-,0,-,-,-,-,0
GM,All,All,1976,16.05804,13.66514,12.6999,15.06452,650.34118,699.76931,589.92901,4372.526,-,329.9689,147.0813,-,0.455322,0.033306,30.12589,0.02,0.046,0.934,0.114,0.886,0,0,0,0.987,-,0.013,0,0,0,0,0,0,0,0,1,-,-,0,-,-,-,-,0
GM,All,All,1977,17.18649,14.61495,13.70837,15.90015,608.07608,648.29024,558.92544,4201.14,-,317.2547,145.34,-,0.464262,0.034456,30.95421,0.019,0.042,0.939,0.076,0.924,0,0,0,0.99,-,0.01,0,0,0,0,0,0,0,0,1,-,-,0,-,-,-,-,0
GM,All,All,1978,17.84749,15.18227,14.17492,16.6264,585.9708,627.60761,535.08136,3898.109,-,297.0638,139.1122,13.341,0.476862,0.035472,30.04461,0.019,0.06,0.921,0.095,0.905,0,0,0,0.976,-,0.014,0,0,0.009,0,0,0,0,0,0.991,-,-,0,-,-,-,-,0
GM,All,All,1979,17.98435,15.28753,14.4239,16.49462,583.24729,618.17954,540.55232,3927.839,-,290.2356,135.4843,14.1917,0.48342,0.034521,30.4698,0.032,0.02,0.948,0.106,0.852,0.042,0,0,0.955,-,0.016,0,0,0.029,0,0,0,0,0,0.971,-,-,0,-,-,0,3.1,0
GM,All,All,1980,21.2811,18.13271,16.60683,20.42666,493.23061,538.59348,437.78711,3494.518,-,231.9017,116.4906,15.0216,0.533168,0.03335,31.78294,0.239,0.028,0.733,0.157,0.59,0.253,0,0,0.938,-,0.003,0.009,0,0.051,0,0,0,0,0,0.949,-,-,0,-,-,0,3.1,0
GM,All,All,1981,22.58335,19.25397,17.50809,21.9263,466.08185,512.62671,409.19369,3538.07,-,232.0768,113.82,15.3585,0.519396,0.032105,34.1763,0.222,0.02,0.758,0.125,0.272,0.602,0,0,0.888,-,0,0.033,0,0.079,0,0,0,0,0,0.921,-,-,0,-,-,0,3.2,0
GM,All,All,1982,23.54131,20.09309,18.03088,23.35827,446.79814,497.85134,384.39978,3490.354,-,220.8118,114.7609,16.248,0.550841,0.032815,35.25908,0.304,0.023,0.673,0.126,0.001,0.873,0,0,0.754,-,0,0.168,0,0.078,0,0,0,0,0,0.922,-,-,0,-,-,0,3.3,0
GM,All,All,1983,22.88182,19.53798,17.45551,22.8732,456.81646,511.30225,390.22271,3582.166,-,228.8158,120.1027,14.527,0.550635,0.033421,35.12654,0.297,0.055,0.648,0.106,0.002,0.892,0,0,0.732,-,0.002,0.232,0,0.034,0,0,0,0,0,0.966,-,-,0,-,-,0,3.5,0
GM,All,All,1984,23.45988,20.0344,17.88126,23.49169,444.50119,498.00152,379.11189,3497.777,-,216.6011,118.1249,14.4565,0.575603,0.033661,35.21384,0.362,0.058,0.581,0.118,0.003,0.878,0,0,0.704,-,0.008,0.272,0,0.017,0,0,0,0,0,0.983,-,-,0,-,-,0,3.5,0
GM,All,All,1985,24.00837,20.511,18.21827,24.23935,433.66749,488.23354,366.97566,3497.243,-,215.4531,120.727,14.0523,0.58699,0.034421,36.07687,0.466,0.071,0.462,0.1,0.012,0.888,0,0,0.569,-,0.133,0.291,0,0.007,0,0,0,0,0,0.993,-,-,0,-,-,0,3.6,0
GM,All,All,1986,25.14539,21.41049,19.00132,25.22151,415.33155,467.97829,352.58978,3365.795,-,201.6798,119.9903,13.3139,0.62405,0.035438,36.27889,0.562,0.065,0.373,0.127,0.025,0.847,0,0,0.406,-,0.204,0.386,0,0.004,0,0,0,0,0,0.996,-,-,0,0,-,0,3.6,0
GM,All,All,1987,25.2557,21.44921,18.88913,25.46045,414.44616,470.61207,349.15661,3385.937,-,203.8017,129.151,12.9759,0.657799,0.037739,36.53302,0.587,0.073,0.34,0.111,0.04,0.849,0,0,0.196,-,0.291,0.511,0,0.002,0,0,0,0,0,0.998,-,-,0,0,-,0,3.7,0
GM,All,All,1988,25.21486,21.34297,18.77452,25.26161,416.50331,473.48066,351.89711,3444.107,-,206.4975,133.3176,12.9413,0.674953,0.038354,37.05469,0.619,0.095,0.286,0.131,0.039,0.831,0,0,0.091,-,0.367,0.54,0,0.002,0,0,0,0,0,0.998,-,-,0,0.022,-,0,3.8,0
